Spanish,Enhanced_Notes
Tres,"Cultural Context: Used for counting, telling time, prices, and addresses in Colombian Spanish.

Example 1: Nos vemos a las tres. = We'll meet at three.
Example 2: Dame tres empanadas. = Give me three empanadas.
Example 3: Tres mil pesos. = Three thousand pesos.

Formality: Neutral
Usage Notes: Essential for daily transactions in Colombian markets, restaurants, and navigation."
Uno,"Cultural Context: Used for counting, telling time, prices, and addresses in Colombian Spanish.

Example 1: Dame uno por favor. = Give me one please.
Example 2: Soy el número uno. = I'm number one.
Example 3: Uno no sabe qué hacer. = One doesn't know what to do.

Formality: Neutral
Usage Notes: Essential for daily transactions in Colombian markets, restaurants, and navigation."
Vamos a hablar.,"Cultural Context: 'Vamos' (let's go/let's) is used for suggestions and group actions in Colombian Spanish.

Example 1: Vamos a hablar. = Let's talk.
Example 2: Vamos a hablar. ¿Te parece? = Let's talk. Sound good?
Example 3: Dale, vamos a hablar.. = Okay, let's talk..

Formality: Informal to Neutral
Usage Notes: 'Vamos' is essential for making plans and suggestions in Colombian social contexts."
Vamos a ver.,"Cultural Context: 'Vamos' (let's go/let's) is used for suggestions and group actions in Colombian Spanish.

Example 1: Vamos a ver. = Let's see / We'll see.
Example 2: ¿Puedes venir? - Vamos a ver, te confirmo. = Can you come? - Let's see, I'll confirm.
Example 3: Vamos a ver qué pasa. = Let's see what happens.

Formality: Informal to Neutral
Usage Notes: 'Vamos' is essential for making plans and suggestions in Colombian social contexts."
Veinte,"Cultural Context: Used for counting, telling time, prices, and addresses in Colombian Spanish.

Example 1: Veinte personas. = twenty people.
Example 2: Son las veinte. = It's twenty o'clock.
Example 3: Piso veinte. = Twenty floor.

Formality: Neutral
Usage Notes: Essential for daily transactions in Colombian markets, restaurants, and navigation."
Voy a salir.,"Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy a salir. = I'm going out.
Example 2: Voy a salir. ¿Vienes conmigo? = I'm going out. Are you coming with me?
Example 3: Ahorita no puedo, voy a salir.. = I can't right now, i'm going out..

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
Voy a {{comer}}.,"Frame: Ir a + infinitive

Cultural Context: 'Ir a + infinitive' is the most common way to express future in Colombian Spanish, preferred over formal future tense.

Example 1: Voy a comer. = I'm going to eat.
Example 2: Voy a estudiar esta noche. = I'm going to study tonight.
Example 3: ¿Qué vas a hacer mañana? = What are you going to do tomorrow?

Formality: Neutral
Usage Notes: Pattern: ir (conjugated) + a + infinitive. Used constantly in Colombian everyday speech."
Voy saliendo,"Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy saliendo = I'm leaving now
Example 2: ¿Dónde estás? - Voy saliendo de la casa. = Where are you? - I'm leaving home now.
Example 3: Ya voy saliendo, llego en 10 minutos. = I'm leaving now, I'll be there in 10 minutes.

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
Ya casi.,"now/already

Cultural Context: 'Ya' is extremely versatile in Colombian Spanish, indicating completion, immediacy, or change of state.

Example 1: ¿Ya terminaste? - Ya casi. = Are you done? - Almost.
Example 2: Ya casi llegamos. = We're almost there.
Example 3: Ya casi acabo. = I'm almost done.

Formality: Informal
Usage Notes: 'Ya casi' is ubiquitous in Colombia for reassuring about progress."
Ya entendí.,"now/already

Cultural Context: 'Ya' is extremely versatile in Colombian Spanish, indicating completion, immediacy, or change of state.

Example 1: Ah, ya entendí. = Ah, now I get it.
Example 2: Ya entendí la explicación. = I understand the explanation now.
Example 3: ¿Entiendes? - Sí, ya entendí. = Do you understand? - Yes, I got it.

Formality: Informal to Neutral
Usage Notes: Common response in Colombian classrooms and explanations."
Ya llegué.,"now/already

Cultural Context: 'Ya' is extremely versatile in Colombian Spanish, indicating completion, immediacy, or change of state.

Example 1: Ya llegué. = I'm here now / I've arrived.
Example 2: Te aviso cuando ya llegue. = I'll let you know when I arrive.
Example 3: Ya llegué a casa, todo bien. = I got home, all good.

Formality: Informal to Neutral
Usage Notes: Colombians often message 'Ya llegué' to confirm safe arrival to family."
Ya no.,"now/already

Cultural Context: 'Ya' is extremely versatile in Colombian Spanish, indicating completion, immediacy, or change of state.

Example 1: Ya no. = Not anymore.
Example 2: Ya no. Todo está listo. = Not anymore. Everything is ready.

Formality: Informal to Neutral
Usage Notes: 'Ya' adds emphasis to completed or immediate actions in Colombian speech."
Ya vengo.,"now/already

Cultural Context: Colombian phrase meaning 'I'll be right back' - extremely common for short departures. The use of 'ya' emphasizes immediacy.

Example 1: Ya vengo, voy al baño. = I'll be right back, going to the bathroom.
Example 2: Ya vengo, no me demoro. = I'll be right back, won't take long.
Example 3: Espérame ahí, ya vengo. = Wait for me there, I'll be right back.

Formality: Informal to Neutral
Usage Notes: One of the most frequently used phrases in Colombian households and workplaces. 'Ya vengo' implies you'll return very soon (usually under 5-10 minutes)."
Ya {{voy}}.,"now/already

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Ya voy. = I'm {{coming}} now.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Acabar}} de + inf: Acabo de comer.,"Recent past pattern

Cultural Context: 'Acabar de + infinitive' expresses recent past actions - 'to have just done something'. Essential pattern in Colombian Spanish.

Example 1: Acabo de llegar. = I just arrived.
Example 2: Acabamos de comer. = We just ate.
Example 3: ¿Ya comiste? - Sí, acabo de comer. = Did you eat? - Yes, I just ate.

Formality: Neutral
Usage Notes: Pattern: acabar (conjugated) + de + infinitive. Very common in Colombian Spanish to indicate very recent actions."
{{Dame}} un minuto.,"Imperative of 'dar'

Cultural Context: Direct command using imperative of 'dar' (to give) - very common in Colombian daily interactions.

Example 1: Dame un minuto, ya termino. = Give me a minute, I'm almost done.
Example 2: Dame un segundo, ya te atiendo. = Give me a second, I'll help you.
Example 3: Dame cinco minutos por favor. = Give me five minutes please.

Formality: Informal to Neutral
Usage Notes: Pattern: dame + noun. Common in Colombian service contexts and casual interactions. Also: 'damela' (give it to me), 'damelo' (give it to me)."
{{Dime}} algo.,"Imperative of 'decir'

Cultural Context: Direct command using imperative of 'decir' (to tell/say) - used to request information or start conversations.

Example 1: Dime qué pasó. = Tell me what happened.
Example 2: Dime la verdad por favor. = Tell me the truth please.
Example 3: Dime algo interesante. = Tell me something interesting.

Formality: Informal to Neutral
Usage Notes: Pattern: dime + phrase. Very common in Colombian conversations. 'Dime' alone can mean 'tell me' or 'what's up?' as a greeting."
{{Estar}} + gerund: Estoy comiendo.,"Present progressive pattern

Cultural Context: Present progressive tense - describes actions happening right now or in the current period. Used more frequently in Colombian Spanish than in Spain.

Example 1: Estoy comiendo. = I'm eating (right now).
Example 2: Estoy trabajando desde casa. = I'm working from home.
Example 3: ¿Qué estás haciendo? = What are you doing?

Formality: Neutral
Usage Notes: Pattern: estar (conjugated) + gerund (-ando/-iendo). Used constantly in Colombian conversations to emphasize ongoing actions."
{{Estar}} por + inf: Estoy por salir.,"About to/on the verge of pattern

Cultural Context: Expresses imminent action - 'about to do something' or 'on the verge of doing something'.

Example 1: Estoy por salir. = I'm about to leave.
Example 2: Estoy por terminar. = I'm about to finish.
Example 3: Están por llegar. = They're about to arrive.

Formality: Neutral
Usage Notes: Pattern: estar (conjugated) + por + infinitive. Used in Colombian Spanish to indicate something is about to happen."
{{Estoy}} bien.,"Estar = to be (state)

Cultural Context: Present progressive - describes actions happening right now.

Example 1: Estoy comiendo. = I'm eating.
Example 2: Estoy trabajando desde casa. = I'm working from home.
Example 3: ¿Qué estás haciendo? = What are you doing?

Formality: Neutral
Usage Notes: Pattern: estar (conjugated) + gerund (-ando/-iendo). Used frequently in Colombian conversations."
{{Es}} tarde.,"Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Es tarde. = It {{is}} late.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Hay}} que + inf: Hay que pagar.,"Impersonal obligation pattern

Cultural Context: Expresses general necessity or obligation - 'one must' or 'we have to'. More impersonal than 'tener que'.

Example 1: Hay que pagar la cuenta. = We have to pay the bill.
Example 2: Hay que llegar temprano. = We need to arrive early.
Example 3: Hay que irnos ya. = We have to leave now.

Formality: Neutral
Usage Notes: Pattern: hay que + infinitive. Common for general obligations and social norms in Colombian Spanish."
{{Hay}} que irnos.,"Haber = there is/must

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Hay que irnos. = We {{have}} to go.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Ir}} a + inf: Voy a dormir.,"Near future construction

Cultural Context: 'Ir a + infinitive' is THE most common way to express future in Colombian Spanish, strongly preferred over formal future tense.

Example 1: Voy a dormir. = I'm going to sleep.
Example 2: Voy a estudiar esta noche. = I'm going to study tonight.
Example 3: ¿Qué vas a hacer mañana? = What are you going to do tomorrow?

Formality: Neutral
Usage Notes: Pattern: ir (conjugated) + a + infinitive. This construction is used in 95%+ of future expressions in everyday Colombian speech."
{{La/Lo}} veo mañana.,"La/Lo = you (object with usted)

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: La/Lo veo mañana. = I'll see {{you}} tomorrow.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Le}} gusta.,"Le = to you(formal)/him/her

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Le gusta. = {{You/He/She}} likes it.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Me}} gusta.,"Me = to me

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Me gusta. = {{I}} like it.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Mira}} esto.,"Informal command

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Mira esto. = {{Look at}} this.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Nos}} vemos.,"Nos = us/each other

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Nos vemos. = {{We}}'ll see each other.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Poder}} + inf: ¿Puedes ayudarme?,"Ability/permission pattern

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Poder + inf: ¿Puedes ayudarme? = Can you help me?

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Pon}} música.,"Poner = to put

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Pon música. = {{Put on}} music.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Páreme}} aquí.,"Transportation command

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Páreme aquí. = {{Stop}} here for me.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
{{Póngame}} un tinto.,"Polite command with me

Cultural Context: Grammar pattern commonly used in Colombian Spanish.

Example 1: Póngame un tinto. = {{Give me}} a black coffee.

Formality: Neutral
Usage Notes: Important grammatical construction for Colombian learners."
