Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Abrázame,Hug me,[sound:Abrázame_4dbb5e85.mp3],"Intimate imperative used between close people (romantic partners, family). Example: 'Abrázame fuerte que estoy triste' (Hug me tight, I'm sad)",Intimate imperative | Between close people,,basic,general,3
Acepto la invitación,I accept the invitation,[sound:Acepto_la_invitación_fd3b9302.mp3],"Formal way to accept an invitation. Colombian social etiquette values gracious acceptance. Example: 'Acepto la invitación con mucho gusto, gracias' (I accept the invitation with much pleasure, thanks)",Formal acceptance of invite,,basic,general,3
Acércate,Come closer / Get closer,[sound:Acércate_847ca0ad.mp3],"Imperative to move nearer. Can be romantic ('Acércate, quiero besarte') or neutral ('Acércate para que te vea'). Context determines tone.",Imperative to move nearer | Can be romantic or neutral,,basic,general,3
Alquilamos sombrilla,Should we rent an umbrella?,[sound:Alquilamos_sombrilla_4f17596d.mp3],"Beach question about umbrella rental. 'Sombrilla' is standard in Colombia. Common at Cartagena, Santa Marta beaches. Example: '¿Alquilamos sombrilla? El sol está muy fuerte'",Beach question about umbrella rental,,basic,general,3
Anterior,Previous / Before / Anterior,[sound:Anterior_4826ce9c.mp3],"Means 'previous' or 'before'. Used in: navigation ('la página anterior'), time ('el día anterior'), anatomy ('la parte anterior del cuerpo'). Example: 'Vuelve a la página anterior'",Previous/before in time or space,,basic,general,3
Ay papámamá,Oh daddy/mommy (expression of emotion),[sound:Ay_papámamá_e47e1cc3.mp3],"Colombian expression of surprise, pleasure, or pain. NOT literal parent reference. Can be flirty ('Ay papá, qué rico') or express pain ('Ay mamá, eso duele'). Very Colombian.",Expression of emotion | Not literal parent,,basic,general,3
Bebé,Baby,[sound:Bebé_70953b9a.mp3],"Term of endearment for romantic partner or actual baby. Extremely common in Colombian relationships. Example: 'Hola bebé, cómo estás mi amor?' (Hi baby, how are you my love?)",Term of endearment | For partner or child,,basic,general,3
Bien o no,Good or not? / Alright or not?,[sound:Bien_o_no_8112f5d5.mp3],"Casual way to ask if something is okay/acceptable. Checking agreement. Example: 'Nos vemos a las 8, ¿bien o no?' (See you at 8, good or not?)",Checking agreement or approval,,basic,general,3
Bien o pal perro,Good or terrible? / All or nothing,[sound:Bien_o_pal_perro_dcbf74c5.mp3],Colombian slang: 'good or terrible' - no middle ground. 'Pal perro' = for the dog (really bad). Example: 'Este partido es bien o pal perro' (This match is either good or terrible),All or nothing | Colombian slang,,basic,general,3
Brindamos,Let's toast / We toast,[sound:Brindamos_1a1595fc.mp3],Making a toast with drinks. Important in Colombian social culture. Example: '¡Brindamos por la vida y la salud!' (Let's toast to life and health!),Making a toast | Social ritual,,basic,general,3
Buenas Cómo vas,Hey! How's it going?,[sound:Buenas_Cómo_vas_b946519c.mp3],"Casual Colombian greeting. 'Buenas' = short for buenos días/tardes. 'Cómo vas' = how are you going. Example: 'Buenas cómo vas, parcero, todo bien?' (Hey how's it going, buddy, all good?)",Casual Colombian greeting combo,,basic,general,3
Bésame,Kiss me,[sound:Bésame_c061a18f.mp3],"Intimate imperative between romantic partners. Example: 'Bésame antes de irte, te voy a extrañar' (Kiss me before you go, I'll miss you)",Intimate imperative | Romantic,,basic,general,3
Bésame todo,Kiss me all over / Kiss all of me,[sound:Bésame_todo_620470a0.mp3],"Intimate/romantic request. 'Todo' = all/everything. Used in passionate moments. Example: 'Bésame todo, no dejes ningún lugar sin besar'",Intimate request | Very romantic,,basic,general,3
Cachái,You get it? / You understand?,[sound:Cachái_d1d93622.mp3],"Chilean slang (not pure Colombian) from English 'catch'. In Colombia, 'entiendes?' or 'captas?' more common. Example: '¿Cachái lo que digo?' (You get what I'm saying?)",Chilean slang for 'understand',,basic,general,3
Cada día entiendo un poquito más,Every day I understand a little more,[sound:Cada_día_entiendo_un_poquito_más_96492289.mp3],Expression of gradual learning. Colombian use of 'poquito' (diminutive). Example: 'Cada día entiendo un poquito más el acento paisa' (Every day I understand the paisa accent a little more),Gradual learning expression,,basic,general,3
Caminamos por la orilla,Let's walk along the shore / We walk along the shore,[sound:Caminamos_por_la_orilla_f5d46bde.mp3],Beach/riverside activity. 'Orilla' = shore/edge. Romantic activity. Example: 'Caminamos por la orilla viendo el atardecer' (We walk along the shore watching the sunset),Beach/riverside walk suggestion,,basic,general,3
Caminemos un rato,Let's walk for a bit / Let's take a walk,[sound:Caminemos_un_rato_3424aa40.mp3],"Suggestion to walk together. 'Un rato' = a while. Common social activity. Example: 'Caminemos un rato por el parque, hace lindo' (Let's walk for a bit through the park, it's nice out)",Suggestion to walk together,,basic,general,3
Cien,One hundred / 100,[sound:Cien_c8513195.mp3],"The number 100. Before singular masculine nouns: 'cien' (not 'ciento'). Example: 'Cien pesos' (100 pesos), 'Ciento veinte' (120)",Number 100 | Apocopates before nouns,,basic,general,3
Cien mil,"One hundred thousand / 100,000",[sound:Cien_mil_ed3206fe.mp3],"100,000. With pesos, ~$25 USD (2025). Common amount. Example: 'El taxi me costó cien mil pesos' (The taxi cost me 100k pesos)","100,000 | Common peso amount",,basic,general,3
Cien mil pesos,"One hundred thousand pesos / 100,000 pesos",[sound:Cien_mil_pesos_037be6a6.mp3],Specific currency amount. ~$25 USD (2025). Common bill. Example: 'Te presto cien mil pesos para el almuerzo' (I'll lend you 100k pesos for lunch),100k pesos | ~$25 USD (2025),,basic,general,3
Cinco mil,"Five thousand / 5,000",[sound:Cinco_mil_d1c2ef94.mp3],"5,000. With pesos, ~$1.25 USD (2025). Very small amount. Example: 'Un tinto cuesta cinco mil pesos' (A coffee costs 5k pesos)","5,000 | Small amount",,basic,general,3
Cincuenta,Fifty / 50,[sound:Cincuenta_25384e1f.mp3],The number 50. Example: 'Mi mamá tiene cincuenta años' (My mom is fifty years old),Number 50,,basic,general,3
Cincuenta mil,"Fifty thousand / 50,000",[sound:Cincuenta_mil_23af42ab.mp3],"50,000. With pesos, ~$12.50 USD (2025). Common for meals, taxis. Example: 'El almuerzo sale cincuenta mil pesos' (Lunch costs 50k pesos)","50,000 | Meal/taxi price range",,basic,general,3
Comemos algo,Let's eat something / Should we eat something?,[sound:Comemos_algo_8d7c177c.mp3],Casual suggestion to eat. Common social invitation. Example: '¿Comemos algo antes del cine?' (Should we eat something before the movies?),Casual food invitation,,basic,general,3
Como a cinco minutos,About five minutes / Around five minutes away,[sound:Como_a_cinco_minutos_a9903e75.mp3],'Como' = approximately. Time/distance estimate. Example: 'Estoy como a cinco minutos de llegar' (I'm about five minutes away from arriving),Approximate time/distance,,basic,general,3
Como a las cinco,Around five o'clock / About 5pm,[sound:Como_a_las_cinco_49af7f33.mp3],Approximate time. 'Como' softens (not exact). Example: 'Te paso recogiendo como a las cinco' (I'll pick you up around five),Approximate time expression,,basic,general,3
Como tú digas,Whatever you say / As you say,[sound:Como_tú_digas_4c4894a4.mp3],"Informal agreement, deferring to other's preference. Can sound passive-aggressive with wrong tone. Example: 'Como tú digas, mi amor' (Whatever you say, my love)",Informal/intimate | Deferring to preference,,basic,general,3
Como tú prefieras,Whatever you prefer / However you prefer,[sound:Como_tú_prefieras_3c87d566.mp3],"Letting other person choose. More polite than 'como tú digas'. Example: 'Como tú prefieras, yo me adapto' (However you prefer, I'll adapt)",Polite way to defer choice,,basic,general,3
Compartimos,Let's share / We share,[sound:Compartimos_6612246e.mp3],Suggestion/statement about sharing. Colombian culture values sharing. Example: '¿Compartimos la cuenta?' (Should we split the bill?) or '¿Compartimos este postre?' (Should we share this dessert?),Sharing suggestion | Colombian value,,basic,general,3
Con cuidado,Carefully / Be careful / With care,[sound:Con_cuidado_aceb1c39.mp3],"Warning or instruction to be cautious. Example: 'Maneja con cuidado, está lloviendo' (Drive carefully, it's raining)",Caution warning or instruction,,basic,general,3
