Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
"Tengo gripa","I have a cold/flu","","Colombian variant of 'gripe'. Used for both common cold and flu. Very common expression in everyday conversation.","Tengo gripe (Spain/other regions)","¿Te sientes maluco? ¿Necesitas algo?","phrase","health,illness,symptoms","beginner"
"Me siento maluco/maluca","I feel sick/lousy","","Distinctly Colombian way to say you're feeling unwell. More informal than 'enfermo/a'. Very commonly used in daily conversation.","Me siento enfermo/a, Estoy indispuesto/a","Deberías descansar un poco.","phrase","health,illness,feelings","beginner"
"Estoy griposo/griposa","I have the flu/cold (I'm sick with flu)","","Adjective form describing someone who has gripa. Same as 'agripado/a'. Informal but widely understood.","Estoy agripado/a","Quédate en casa y cuídate.","phrase","health,illness,symptoms","beginner"
"Tengo maluquera","I'm feeling really lousy/sick","","Noun form of 'maluco'. Expresses general unwellness or feeling bad. Very Colombian expression.","Me siento muy mal","¿Quieres que te lleve al médico?","phrase","health,illness,feelings","intermediate"
"Me duele la cabeza","I have a headache / My head hurts","","Standard expression for headache. Pattern extends to other body parts (me duele el estómago, me duele la espalda).","Tengo dolor de cabeza","Toma una pastilla para el dolor.","phrase","health,symptoms,pain","beginner"
"Tengo fiebre","I have a fever","","Direct way to express having a fever. Essential health vocabulary.","Mi temperatura está alta","Debes ir al médico si sigue alta.","phrase","health,symptoms,illness","beginner"
"Tengo dolor de garganta","I have a sore throat","","Common symptom expression. 'Garganta' is throat.","Me duele la garganta","Toma agua caliente con miel.","phrase","health,symptoms,pain","beginner"
"Estoy enfermito/enfermita","I'm a bit sick (diminutive)","","Diminutive form suggesting you're not too ill but want sympathy. Softens the statement.","Estoy un poco enfermo/a","Pobre, descansa y te mejoras.","phrase","health,illness,feelings","intermediate"
"No me siento bien","I don't feel well","","General way to express not feeling good without specifying symptoms. Polite and common.","Me siento mal","¿Qué te pasa? ¿Estás bien?","phrase","health,feelings","beginner"
"Tengo mareo","I feel dizzy","","Expresses dizziness or vertigo. Important symptom to communicate.","Estoy mareado/a","Siéntate y respira profundo.","phrase","health,symptoms","intermediate"
"Tengo náuseas","I feel nauseous","","Expresses feeling sick to your stomach, wanting to vomit.","Tengo ganas de vomitar","¿Necesitas ir al baño?","phrase","health,symptoms","intermediate"
"Me duele el estómago","I have a stomach ache / My stomach hurts","","Common pain expression for stomach area. Can also say 'me duele la barriga/panza' informally.","Tengo dolor de estómago, Me duele la panza","¿Comiste algo que te cayó mal?","phrase","health,symptoms,pain","beginner"
"Tengo diarrea","I have diarrhea","","Direct medical term. Important for communicating digestive issues.","Tengo churrias (Colombian slang)","Toma mucha agua para hidratarte.","phrase","health,symptoms,hygiene","intermediate"
"Tengo churrias","I have diarrhea (Colombian slang)","","Colorful Colombian slang for diarrhea. Usually used with 'tener'. More informal than 'diarrea'.","Tengo diarrea","¡Ay no! Espero que te mejores pronto.","phrase","health,symptoms,slang","intermediate"
"Tengo estreñimiento","I'm constipated","","Medical term for constipation. Important digestive health vocabulary.","Estoy estreñido/a","Come más fibra y toma agua.","phrase","health,symptoms","intermediate"
"Tengo tos","I have a cough","","Simple, direct expression for coughing. Common cold/flu symptom.","Estoy tosiendo mucho","Toma jarabe para la tos.","phrase","health,symptoms","beginner"
"Tengo flojera","I feel weak","","Expresses physical weakness or lack of energy. Also used for laziness in other contexts.","Me siento débil, No tengo energía","Necesitas comer algo nutritivo.","phrase","health,symptoms,feelings","intermediate"
"Estoy resfriado/resfriada","I have a cold","","Formal term for having a cold (resfriado). Less common in Colombia than 'gripa'.","Tengo gripa, Tengo un resfriado","Abrígate bien y toma líquidos.","phrase","health,illness","intermediate"
"Voy a la droguería","I'm going to the pharmacy","","In Colombia, 'droguería' and 'farmacia' both mean pharmacy. 'Droguería' is more commonly used.","Voy a la farmacia","¿Me traes algo si vas?","phrase","health,places,pharmacy","beginner"
"Necesito pastillas","I need pills/tablets","","General term for medication in pill form. 'Pastillas' is very common.","Necesito medicamentos, Necesito píldoras","¿Qué pastillas necesitas?","phrase","health,pharmacy,medicine","beginner"
"Necesito una receta","I need a prescription","","Important phrase for getting prescription medications at the pharmacy.","Necesito una fórmula médica (more formal)","El doctor te la puede dar.","phrase","health,pharmacy,medical","intermediate"
"¿Me da algo para el dolor?","Can you give me something for the pain?","","Common pharmacy request. 'Algo para...' pattern useful for requesting remedies.","¿Tiene algo para el dolor?","Claro, aquí tiene un analgésico.","phrase","health,pharmacy,pain","intermediate"
"Necesito un analgésico","I need a painkiller","","Specific medication request. 'Analgésico' is painkiller/pain reliever.","Necesito algo para el dolor","¿Qué tipo de dolor tienes?","phrase","health,pharmacy,medicine","intermediate"
"Tomo jarabe para la tos","I take cough syrup","","'Jarabe' is syrup. Common medication form for coughs and colds.","Necesito jarabe para la tos","¿Cuántas veces al día lo tomas?","phrase","health,pharmacy,medicine","intermediate"
"Tengo cita médica","I have a doctor's appointment","","Standard phrase for medical appointment. 'Cita médica' or 'cita con el médico'.","Tengo consulta médica","¿A qué hora es tu cita?","phrase","health,medical,appointments","intermediate"
"Voy al médico","I'm going to the doctor","","Simple, direct way to say you're visiting the doctor.","Voy a la consulta, Voy donde el doctor","¿Qué te pasa? ¿Estás enfermo?","phrase","health,medical","beginner"
"¿Me prestas el baño?","Can I use your bathroom? (Colombian)","","Very Colombian way to ask for bathroom. 'Prestar' literally means 'to lend' but used for bathroom requests.","¿Puedo usar el baño? ¿Dónde está el baño?","Claro, es la primera puerta a la derecha.","phrase","hygiene,bathroom,polite","beginner"
"Me voy a bañar","I'm going to take a shower/bath","","'Bañarse' means to bathe. Very common daily hygiene expression.","Me voy a duchar, Voy a tomar una ducha","¿Ya te vas a bañar? El agua está caliente.","phrase","hygiene,daily-routine","beginner"
"Voy a lavarme los dientes","I'm going to brush my teeth","","Literally 'wash my teeth'. Also 'cepillarme los dientes' (brush my teeth).","Voy a cepillarme los dientes","No olvides usar seda dental.","phrase","hygiene,daily-routine","beginner"
