Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Algo suave o con alcohol,Something soft (non-alcoholic) or with alcohol?,[sound:Algo_suave_o_con_alcohol_3f1120d3.mp3],,Drink preference question | 'Suave' = non-alcoholic in Colombian Spanish,"Example: When ordering drinks, host asks 'Algo suave o con alcohol?' - you might say 'Algo suave por ahora' (something non-alcoholic for now). Common at parties/gatherings when offering beverages. Tone: Friendly, hospitable.",basic,reactions,3
Almorzaste ya,Did you already eat lunch? / Have you had lunch?,[sound:Almorzaste_ya_7bf5c1f8.mp3],now/already,Checking if someone has eaten,"Example: Coworker asks around 2pm 'Almorzaste ya?' - you respond 'Sí, ya almorcé' or 'No, todavía no'. Very common in Colombian workplace culture. Tone: Casual, caring concern.",basic,reactions,3
Así está perfecto,That's perfect (just like that) / That's just right,[sound:Así_está_perfecto_efa1e842.mp3],,,"Example: Hairdresser asks 'Más corto?' (shorter?) and you say 'No, así está perfecto' (no, it's perfect like that). Used when something is exactly how you want it. Tone: Satisfied, approving.",basic,reactions,3
Ay Dios,Oh God / Oh my God,[sound:Ay_Dios_51881fd3.mp3],,,"Example: Friend tells you shocking news and you react 'Ay Dios, no lo puedo creer!' (Oh God, I can't believe it!). Expresses surprise, shock, or exasperation. Tone: Emotional, dramatic (not religious).",basic,reactions,3
Ay sí,Oh yes / Yeah right (sarcastic),[sound:Ay_sí_e5b512ce.mp3],,,"Example: Someone brags 'Soy el mejor jugador' and you reply sarcastically 'Ay sí, claro' (yeah right, sure). Can be genuine agreement or sarcastic depending on tone. Tone: Often sarcastic/mocking, sometimes genuine enthusiasm.",basic,reactions,3
Bien o qué,Good or what? / You good? / Everything okay?,[sound:Bien_o_qué_32bbe198.mp3],,,"Example: Friend looks upset, you ask 'Bien o qué?' (you okay or what?). Casual way to check on someone. Can sound confrontational if tone is wrong. Tone: Casual concern, sometimes challenging.",basic,reactions,3
Claro que sí,Of course yes / Absolutely,[sound:Claro_que_sí_14f3d0d7.mp3],,,"Example: Friend asks 'Me acompañas al centro?' (will you come with me downtown?) and you enthusiastically reply 'Claro que sí!' (of course!). Strong affirmative response. Tone: Enthusiastic, definitive agreement.",basic,reactions,3
Dale pues,Alright then / Let's do it / Okay sure,[sound:Dale_pues_1229ed5d.mp3],,,"Example: After discussing lunch plans, you agree 'Dale pues, nos vemos a la 1' (alright then, see you at 1). Very common agreement phrase in Colombia. Tone: Casual, agreeable, friendly.",basic,reactions,3
Eres muy especial para mí,You're very special to me,[sound:Eres_muy_especial_para_mí_1ebe377b.mp3],,,"Example: To close friend or romantic partner 'Eres muy especial para mí, gracias por todo' (you're very special to me, thanks for everything). Heartfelt expression of appreciation. Tone: Tender, sincere, intimate.",basic,reactions,3
Eres muy sexy,You're very sexy,[sound:Eres_muy_sexy_30077328.mp3],,,"Example: Flirting with romantic interest 'Eres muy sexy con esa camisa' (you're very sexy in that shirt). Direct compliment. Tone: Flirtatious, bold, playful.",basic,reactions,3
Estás muy ricorica,You look really hot/delicious (feminine),[sound:Estás_muy_ricorica_291b73fa.mp3],,,"Example: To girlfriend/female partner 'Estás muy ricorica hoy' (you look really hot today). 'Ricorica' is affectionate/diminutive form, used for women. Can be playful or flirty. Tone: Flirtatious, affectionate, casual.",basic,reactions,3
