Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
A cómo está,How much is it?,[sound:A_cómo_está_7e5fbc0f.mp3],"Colombian informal price question - Very common in markets and shops, more natural than '¿Cuánto cuesta?' | INFORMAL | Example: 'A cómo está el kilo de banano?' (How much is a kilo of bananas?)",,Está a diez mil,basic,requests_offers,3
A ver si puedes,Let's see if you can,[sound:A_ver_si_puedes_433ee139.mp3],"Challenge or encouragement - Can be playful or confrontational depending on tone | CASUAL/INFORMAL | Example: 'A ver si puedes llegar primero' (Let's see if you can arrive first)",,Dale pues,basic,requests_offers,3
Aceptan tarjeta,Do you accept card?,[sound:Aceptan_tarjeta_40520836.mp3],"Payment method question - Short for credit/debit card | NEUTRAL/FORMAL | Example: '¿Aceptan tarjeta o solo efectivo?' (Do you accept card or only cash?)",,Sí claro,basic,requests_offers,3
Aceptan transferencia o Nequi,Do you accept transfer or Nequi?,[sound:Aceptan_transferencia_o_Nequi_b04b29d6.mp3],"Digital payment question - Nequi is Colombian digital wallet by Bancolombia | NEUTRAL | Example: '¿Aceptan transferencia o Nequi? No tengo efectivo' (Do you accept transfer or Nequi? I don't have cash)",,Sí ambos,basic,requests_offers,3
Bájale un poquito a la música porfa,Can you turn the music down a little please?,[sound:Bájale_un_poquito_a_la_música_porfa_240132de.mp3],"Polite request to lower volume - 'Porfa' is casual shortening of 'por favor' | CASUAL/FRIENDLY | Example: 'Bájale un poquito a la música porfa, estoy en reunión' (Turn the music down a bit please, I'm in a meeting)",,Listo ya,basic,requests_offers,3
Cuánto cuesta,How much does it cost?,[sound:Cuánto_cuesta_e13593cb.mp3],"Standard price question - More formal than 'a cómo está' | NEUTRAL/FORMAL | Example: '¿Cuánto cuesta el pasaje a Cartagena?' (How much does the ticket to Cartagena cost?)",,Vale cincuenta mil,basic,requests_offers,3
Cuánto es,How much is it?,[sound:Cuánto_es_94b09f3a.mp3],"Quick price/total question - Often used when asking for the bill or total | NEUTRAL | Example: '¿Cuánto es todo junto?' (How much is everything together?)",,Son ochenta mil,basic,requests_offers,3
Cuánto vale este,How much is this one?,[sound:Cuánto_vale_este_3d2ff828.mp3],"Price question pointing at specific item - 'Vale' is commonly used instead of 'cuesta' | NEUTRAL | Example: '¿Cuánto vale este arroz de coco?' (How much is this coconut rice?)",,Vale quince mil,basic,requests_offers,3
Cómo lo quieres,How do you want it?,[sound:Cómo_lo_quieres_c025ef37.mp3],"Question about preferences - Common in restaurants, hair salons, etc. | CASUAL/NEUTRAL | Example: '¿Cómo lo quieres el jugo? ¿Con o sin azúcar?' (How do you want the juice? With or without sugar?)",,Sin azúcar porfa,basic,requests_offers,3
Dime qué quieres,Tell me what you want,[sound:Dime_qué_quieres_20e51f06.mp3],"Direct request for someone to state their desires - Can be casual or intimate depending on context | CASUAL/INFORMAL | Example: 'Dime qué quieres comer y lo pedimos' (Tell me what you want to eat and we'll order it)",,Quiero bandeja paisa,basic,requests_offers,3
