Spanish,English,Extra
"Aprecio mucho lo que haces por mí","I really appreciate what you do for me","Example: Aprecio mucho lo que haces por mí, siempre estás ahí cuando te necesito → I really appreciate what you do for me, you're always there when I need you | Context: Expressing gratitude to a romantic partner; shows emotional depth and appreciation"
"Contigo hasta un paseo por TransMilenio","With you even a TransMilenio ride is nice","Example: Contigo hasta un paseo por TransMilenio es agradable → With you even a TransMilenio ride is nice | Context: TransMilenio is Bogotá's notoriously crowded bus system; saying this means anything is enjoyable with them, even something typically unpleasant"
"Contigo me siento en casa","With you I feel at home","Example: Contigo me siento en casa, no importa dónde estemos → With you I feel at home, no matter where we are | Context: Expresses deep comfort and belonging with the person; very romantic and meaningful"
"Contigo todo es diferente","With you everything is different","Example: Contigo todo es diferente, me haces ver la vida de otra manera → With you everything is different, you make me see life in another way | Context: Expresses how the person changes your perspective positively"
"Cuídate mucho preciosa","Take good care of yourself, beautiful","Example: Cuídate mucho preciosa, nos vemos pronto → Take good care of yourself beautiful, see you soon | Context: Affectionate farewell; 'preciosa' is a common term of endearment in Colombian Spanish"
"Envejezcamos juntos","Let's grow old together","Example: Quiero envejezcamos juntos y vivamos muchas aventuras → I want us to grow old together and live many adventures | Context: Deep commitment expression; very romantic declaration about long-term future together"
"Eres mi debilidad","You are my weakness","Example: Eres mi debilidad, no puedo decirte que no → You are my weakness, I can't say no to you | Context: Playful admission of being unable to resist the person; shows vulnerability in romance"
"Espero que tengas un día hermoso","I hope you have a beautiful day","Example: Espero que tengas un día hermoso, piensa en mí → I hope you have a beautiful day, think of me | Context: Sweet morning or farewell message; caring and affectionate"
"Estar contigo es una nota","Being with you is amazing","Example: Estar contigo es una nota, siempre la paso bien → Being with you is amazing, I always have a good time | Context: 'Una nota' is Colombian slang for something excellent/amazing; very casual and affectionate"
"Hermosa","Beautiful","Example: Buenos días hermosa, ¿cómo dormiste? → Good morning beautiful, how did you sleep? | Context: Common term of endearment; can be used as greeting or to address a romantic partner"
"Me alegra mucho estar contigo","I'm so happy to be with you","Example: Me alegra mucho estar contigo en este momento → I'm so happy to be with you right now | Context: Expresses joy and contentment in the relationship; heartfelt and sincere"
"Me alegra terminar el día contigo","I'm happy to end the day with you","Example: Me alegra terminar el día contigo, has sido lo mejor de hoy → I'm happy to end the day with you, you've been the best part of today | Context: Evening message expressing appreciation; romantic bedtime sentiment"
"Me encanta terminar el día contigo","I love ending the day with you","Example: Me encanta terminar el día contigo, hablando de todo → I love ending the day with you, talking about everything | Context: Stronger than 'me alegra'; shows deep appreciation for their presence at day's end"
"Me encantó pasar tiempo contigo","I loved spending time with you","Example: Me encantó pasar tiempo contigo hoy, estuvo muy lindo → I loved spending time with you today, it was very nice | Context: Said after a date or time together; warm and appreciative"
"Me hace feliz hablar contigo siempre que","It makes me happy to talk with you whenever","Example: Me hace feliz hablar contigo siempre que puedo → It makes me happy to talk with you whenever I can | Context: Expresses joy in communication; shows they value conversation together"
"Me siento tranquilo contigo","I feel calm/at peace with you","Example: Me siento tranquilo contigo, no tengo que fingir nada → I feel calm with you, I don't have to pretend anything | Context: Expresses comfort and authenticity in the relationship; 'todo bien' = all good/no worries"
"Mi vida","My life (term of endearment)","Example: Hola mi vida, ¿cómo estás? → Hi my life, how are you? | Context: Very common romantic term of endearment in Colombia; equivalent to 'my love' or 'sweetheart'"
"Pienso en ti desde que me desperté","I've been thinking of you since I woke up","Example: Pienso en ti desde que me desperté esta mañana → I've been thinking of you since I woke up this morning | Context: Sweet morning message; shows they're the first thought of the day"
"Pienso en ti todo el día","I think about you all day","Example: Pienso en ti todo el día, no puedo concentrarme en nada más → I think about you all day, I can't concentrate on anything else | Context: Expresses constant preoccupation with the person; romantic and intense"
"Preciosa","Beautiful/Precious","Example: Preciosa, ¿quieres ir a tomar algo? → Beautiful, do you want to go get something? | Context: Common term of endearment; can be used to address partner or as compliment"
"Que tengas una noche linda","Have a beautiful night","Example: Que tengas una noche linda y descanses bien → Have a beautiful night and rest well | Context: Evening farewell; sweet and caring bedtime wish"
"Qué rico compartir este momento contigo","How nice to share this moment with you","Example: Qué rico compartir este momento contigo, me siento muy feliz → How nice to share this moment with you, I feel very happy | Context: 'Rico' in Colombian Spanish means nice/pleasant; expresses appreciation for shared experience"
