Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
¿Hay mucho trancón?,Is there a lot of traffic?,[sound:¿Hay_mucho_trancón?_placeholder.mp3],"Bogotá's most common traffic question | 'Trancón' is the Colombian word for traffic jam | Example: ""¿Hay mucho trancón en la Autopista Norte?"" = Is there a lot of traffic on Autopista Norte? | Informal",Está muy trancado,Sí/No hay trancón,basic,traffic questions,2
Duré una hora en el trancón,I was stuck in traffic for an hour,[sound:Duré_una_hora_en_el_trancón_placeholder.mp3],"Common complaint in Bogotá and other Colombian cities | 'Durar' means to last/take time | Example: ""Disculpa la demora, duré dos horas en el trancón"" = Sorry for the delay, I was stuck in traffic for two hours | Informal",Me quedé una hora en el trancón,,basic,traffic complaints,3
Qué taco tan berraco,What a crazy traffic jam,[sound:Qué_taco_tan_berraco_placeholder.mp3],"Paisa (Medellín) expression for traffic jam | 'Taco' = traffic jam in Antioquia region | 'Berraco' = intense/crazy | Example: ""Me pillé un taco en la avenida"" = I got caught in a traffic jam on the avenue | Regional: Paisa | Informal",Qué taco tan horrible,,intermediate,traffic complaints paisa,4
Me pillé un taco,I got caught in a traffic jam,[sound:Me_pillé_un_taco_placeholder.mp3],"Paisa (Medellín) slang | 'Pillar' = to catch | Example: ""Llegué tarde porque me pillé un taco en la Regional"" = I arrived late because I got caught in a traffic jam on Regional highway | Regional: Paisa | Very informal",Me agarró el taco,,intermediate,traffic paisa,4
Pico y placa,License plate restriction,[sound:Pico_y_placa_placeholder.mp3],"Traffic restriction system in major Colombian cities | Limits vehicles during rush hours based on license plate numbers | Example: ""No puedo manejar hoy, tengo pico y placa de 6 a 8 AM"" = I can't drive today, I have plate restrictions from 6 to 8 AM | Essential for navigating Colombian cities | Formal/Informal",Restricción vehicular,,basic,traffic rules,3
Hoy tengo pico y placa,Today I have plate restrictions,[sound:Hoy_tengo_pico_y_placa_placeholder.mp3],"Common excuse for not driving | Example: ""¿Me pasas recogiendo? Hoy tengo pico y placa"" = Can you pick me up? Today I have plate restrictions | Informal",Hoy no puedo sacar el carro,,basic,traffic daily,2
Voy a tomar el Transmilenio,I'm going to take the TransMilenio,[sound:Voy_a_tomar_el_Transmilenio_placeholder.mp3],"Bogotá's BRT (Bus Rapid Transit) system | Most common public transport in Bogotá | Example: ""Nos vemos en una hora, voy a tomar el Transmilenio"" = See you in an hour, I'm taking the TransMilenio | Informal",Voy en Transmi,,basic,public transport bogota,2
El Transmilenio está lleno,The TransMilenio is packed,[sound:El_Transmilenio_está_lleno_placeholder.mp3],"Frequent complaint during rush hour | Example: ""Llegué tarde porque el Transmilenio estaba llenísimo"" = I arrived late because the TransMilenio was super packed | Informal",El Transmi va reventado,,intermediate,public transport complaints,3
Voy a tomar un SITP,I'm going to take a SITP bus,[sound:Voy_a_tomar_un_SITP_placeholder.mp3],"SITP = Sistema Integrado de Transporte Público (Bogotá's integrated bus system) | Modern bus system in Bogotá | Example: ""El SITP que coge es el azul"" = The SITP you take is the blue one | Informal",Voy en SITP,,intermediate,public transport bogota,3
¿Pasa por aquí alguna buseta?,Does any buseta pass by here?,[sound:¿Pasa_por_aquí_alguna_buseta?_placeholder.mp3],"Buseta = small bus (40-50 passenger capacity) | Traditional Colombian transport | Example: ""¿Esta buseta va para el centro?"" = Does this buseta go downtown? | Informal",¿Hay busetas por aquí?,,intermediate,public transport,3
Voy a coger el metro,I'm going to take the metro,[sound:Voy_a_coger_el_metro_placeholder.mp3],"Medellín's metro system (only metro in Colombia) | Example: ""El metro de Medellín es muy eficiente"" = Medellín's metro is very efficient | Informal | Note: 'coger' is acceptable in Colombia, unlike some Latin American countries",Voy a tomar el metro,,basic,public transport medellin,2
Me subo al Metrocable,I'm getting on the Metrocable,[sound:Me_subo_al_Metrocable_placeholder.mp3],"Medellín's cable car system integrated with metro | Connects barrios to city center | Example: ""El Metrocable tiene unas vistas increíbles de la ciudad"" = The Metrocable has incredible views of the city | Informal",Voy en Metrocable,,intermediate,public transport medellin,3
Voy a pedir un Uber,I'm going to request an Uber,[sound:Voy_a_pedir_un_Uber_placeholder.mp3],"Despite legal ambiguity, Uber is widely used in Colombia | Example: ""Pedí un Uber porque está lloviendo"" = I requested an Uber because it's raining | Informal",Voy a pedir un carro,,basic,rideshare,2
El Uber ya viene,The Uber is on its way,[sound:El_Uber_ya_viene_placeholder.mp3],"Common phrase when waiting for pickup | Example: ""Tranquila, el Uber ya viene en 3 minutos"" = Don't worry, the Uber is coming in 3 minutes | Informal",Ya está llegando el Uber,,basic,rideshare,2
Dame el pin del Uber,Give me the Uber PIN,[sound:Dame_el_pin_del_Uber_placeholder.mp3],"Uber verification code shared with driver | Example: ""Es el carro gris? Dame el pin para confirmar"" = Is it the gray car? Give me the PIN to confirm | Informal",Cuál es el código?,,basic,rideshare,2
Llámame un taxi,Call me a taxi,[sound:Llámame_un_taxi_placeholder.mp3],"Requesting taxi service | Yellow taxis are official in Colombia | Example: ""¿Me puedes llamar un taxi para el aeropuerto?"" = Can you call me a taxi to the airport? | Informal",Pídeme un taxi,,basic,taxi,2
Tomar un taxi,To take a taxi,[sound:Tomar_un_taxi_placeholder.mp3],"Standard phrase for taxi | Example: ""Voy a tomar un taxi para llegar más rápido"" = I'm going to take a taxi to get there faster | Informal",Coger un taxi,,basic,taxi,2
A dónde va?,Where are you going?,[sound:A_dónde_va?_placeholder.mp3],"Taxi driver's first question | Example: ""A dónde va? - A la zona T"" = Where are you going? - To Zona T | Informal/Formal",Para dónde?,,basic,taxi,2
Cuánto cobra?,How much do you charge?,[sound:Cuánto_cobra?_placeholder.mp3],"Asking taxi fare before getting in (especially for taxis without meter) | Example: ""Cuánto cobra hasta el aeropurado?"" = How much do you charge to the airport? | Informal",Cuánto sale?,,basic,taxi,2
Déjeme en la esquina,Drop me off at the corner,[sound:Déjeme_en_la_esquina_placeholder.mp3],"Common instruction to taxi driver | Example: ""Déjeme en la esquina de la 85 con 15"" = Drop me off at the corner of 85th and 15th | Informal/Formal",Me baja en la esquina,,basic,taxi directions,2
Aquí está bien,Here is fine,[sound:Aquí_está_bien_placeholder.mp3],"Telling taxi driver to stop | Example: ""Aquí está bien, gracias"" = Here is fine, thank you | Informal/Formal",Pare aquí por favor,,basic,taxi directions,1
Tengo que hacer unas vueltas,I have to run some errands,[sound:Tengo_que_hacer_unas_vueltas_placeholder.mp3],"'Hacer vueltas' is the Colombian way to say 'run errands' | Very common expression | Example: ""No puedo ahora, tengo que hacer unas vueltas en el banco"" = I can't now, I have to run some errands at the bank | Informal",Tengo que hacer diligencias,,basic,errands,3
Ando en vueltas,I'm out running errands,[sound:Ando_en_vueltas_placeholder.mp3],"When you're currently doing errands | Example: ""Te llamo después, ando en vueltas"" = I'll call you later, I'm out running errands | Very informal",Estoy haciendo vueltas,,intermediate,errands,3
